"id_num";"ind_accda";"nombre_ind_accd";"ind_acciv";"nombre_ind_acciv";"total_mu30df";"total_hg30df";"total_hl30df";"fecha_accidente";"hora_accidente";"mes_1f";"nombre_mes";"anyo";"ccaa_1f";"nombre_ccaa";"provincia_1f";"nombre_provincia";"cod_municipio";"nombre_municipio";"carretera";"km";"sentido_1f";"nombre_sentido";"tipo_via_3f";"nombre_tipo_via";"titularidad_via_2f";"nombre_titularidad_via";"tipo_animal_1f";"nombre_tipo_animal_1f";"tipo_animal_2f";"nombre_tipo_animal_2f";"longitud";"latitud";"geom";"dia_semana";"nombre_dia_semana";"parte_dia";"luna";"prec";"tmin";"tmax";"sol";"uso_suelo";"altitud";"pendiente";"taxonkey";"tipo_dia";"tmed";"imd_total";"maxspeed"
201623007847;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-09-23;"21:30";9;Septiembre;2016;1;Andalucía;23;Jaén;23028;Cazorla;A-315;17.8;2;Descendente;2;Resto vías interurbanas;2;Autonómica;3;Ciervo;1;Silvestre;-3.16549;37.94269;POINT (-3.16549 37.94269);5;Viernes;Noche;55;;;;;Cultivos;1338.658;31.646;"2440958";Diario;;4554.0;80
201630012106;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-10-04;"19:00";10;Octubre;2016;14;Murcia, Región de;30;Murcia;30021;Fuente Álamo de Murcia;RM-2;20.0;2;Descendente;2;Resto vías interurbanas;2;Autonómica;20;Canino;2;Doméstico;-1.21883;37.74049;POINT (-1.21883 37.74049);2;Martes;Día;;0.0;18.2;29.0;9.3;Cultivos;218.934;-9999.0;"";Diario;23.6;32121.0;120
201842071783;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-01-23;"7:40";1;Enero;2018;8;Castilla y León;42;Soria;0;;N-122;160.0;1;Ascendente;2;Resto vías interurbanas;1;Estatal;1;Ave;1;Silvestre;-2.51031;41.7706;POINT (-2.51031 41.7706);2;Martes;Noche;30;0.0;-2.3;15.9;8.1;Cultivos;1044.87;0.968;"";Diario;6.800000000000001;7541.0;120
202042128811;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-08-23;"6:30";8;Agosto;2020;8;Castilla y León;42;Soria;0;;SO-20;1.0;2;Descendente;1;Autopista y autovía;1;Estatal;8;Jabalí;1;Silvestre;-2.48927;41.67781;POINT (-2.48927 41.67781);7;Domingo;Noche;20;0.0;11.5;28.5;11.9;Cultivos;1198.505;3.226;"7705930";Finde;20.0;9406.0;120
201722031245;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2017-10-07;"23:15";10;Octubre;2017;2;Aragón;22;Huesca;0;;A-1213;8.5;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-0.37615;42.02836;POINT (-0.37615 42.02836);6;Sábado;Noche;98;0.0;7.7;21.8;10.5;Cultivos;511.271;0.323;"7705930";Finde;14.75;12740.0;80
201727036396;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2017-02-16;"21:00";2;Febrero;2017;12;Galicia;27;Lugo;27065;Vilalba;LU-120;8.0;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-7.56672;43.27718;POINT (-7.56672 43.27718);4;Jueves;Noche;76;0.0;2.9;18.2;9.7;Monte arbolado;530.092;1.7229999999999999;"7705930";Diario;10.549999999999999;7611.0;90
201623007855;0;No es un accidente de daños exclusivamente;1;Accidente con víctimas exclusivamente;0;0;1;2016-04-02;"1:00";4;Abril;2016;1;Andalucía;23;Jaén;0;;A-311;7.6;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;16;Tejón;1;Silvestre;-3.85901;37.85578;POINT (-3.85901 37.85578);6;Sábado;Noche;36;0.0;6.7;19.4;10.8;Cultivos;303.834;-9999.0;"2433875";Finde;13.049999999999999;23996.0;90
201934096555;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-08-24;"21:30";8;Agosto;2019;8;Castilla y León;34;Palencia;0;;P-901;19.0;2;Descendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;-4.71771;41.92052;POINT (-4.71771 41.92052);6;Sábado;Anochecer;;0.0;14.4;33.3;0.0;Cultivos;860.362;0.454;"5220126";Finde;23.849999999999998;4172.0;90
201910080921;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-05-21;"23:40";5;Mayo;2019;10;Extremadura;10;Cáceres;10037;Cáceres;N-630;561.1;2;Descendente;2;Resto vías interurbanas;1;Estatal;8;Jabalí;1;Silvestre;-6.35258;39.39931;POINT (-6.35258 39.39931);2;Martes;Noche;95;0.0;12.1;26.4;13.3;Cultivos;463.529;13.1945;"7705930";Diario;19.25;151.0;120
202018113682;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-10-06;"5:40";10;Octubre;2020;1;Andalucía;18;Granada;18100;Huétor Tájar;A-92;200.0;2;Descendente;1;Autopista y autovía;2;Autonómica;17;Zorro;1;Silvestre;-4.06009;37.18036;POINT (-4.06009 37.18036);2;Martes;Noche;85;0.0;5.4;27.3;11.2;Cultivos;962.978;6.609;"5219243";Diario;16.35;12736.0;120
